landmark_id,landmark_name,address,areaId,image_path
61,M컨템포러리,서울특별시 강남구 역삼동 602 1F,9,M컨템포러리(강남구)_001_34582769.jpg
62,N서울타워,서울특별시 용산구 남산공원길 105,13,N_서울타워_001_33370207.JPG
63,PLAYONEPIECE,서울특별시 마포구 와우산로 101,8,Play One Piece in Hongdae_001_34771272.jpg
64,PMF자양스테이션,서울특별시 광진구 자양동 630-41,2,PMF자양스테이션_003_39807333.jpg
65,SH아트홀,서울특별시 종로구 동숭동 1-131,1,SH아트홀_001_34730166.jpg
66,SNKRS,서울특별시 마포구 와우산로 78,8,홍대SNKRS_001_34814815.jpg
67,SPA1899동인비,서울특별시 강남구 영동대로 416(대치동),9,SPA 1899 동인비_001_34583212.jpg
68,tbs교통방송,서울특별시 마포구 매봉산로 31(상암동) S-PLEX CENTER,8,tbs교통방송_001_38580502.jpg
69,TheK호텔서울,서울특별시 서초구 양재동 202,10,The K hotel_002_34931978.jpg
70,UM갤러리,서울특별시 강남구 압구정로12길 25(신사동) 3층,9,UM갤러리_001_42033633.jpg
71,W몰,서울특별시 금천구 디지털로 188,16,감로천생태공원_001_40950640.JPG
72,YTN,서울특별시 마포구 상암산로 76(상암동) YTN 뉴스퀘어,8,YTN_001_38579626.jpg
73, 답십리고미술상가,서울특별시 동대문구 답십리동 530-1,19,답십리 고미술상가_001_35142017.JPG
74,가든파이브,서울특별시 송파구 문정동 634,14,가든파이브_001_33832955.JPG
75,가락몰5관(씨푸드),서울특별시 송파구 양재대로 932,14,가락몰5관(씨푸드)_002_42459262.JPG
76,가락몰SAFF타워(업무동),서울특별시 송파구 양재대로 932,14,가락몰SAFF타워(업무동)_001_42459461.JPG
77,가락몰입구,서울특별시 송파구 가락동,14,가락몰입구_004_42459661.JPG
78,가락삼익아파트,서울특별시 송파구 오금로32길 5,14,가락삼익아파트_001_0.jpg
79,가락시장,서울특별시 송파구 가락동 600,14,가락시장_001_33257347.JPG
80,가람어린이공원,서울특별시 은평구 불광동 448-11,12,가람어린이공원_001_0.jpg
81,가람화랑,서울특별시 종로구 관훈동 30-10,1,가람화랑_001_39728938.jpg
82,가로수길,서울특별시 강남구 신사동,9,가로수길_001_34011402.JPG
83,가린열공원,서울특별시 구로구 개봉동,4,가린열공원_001_0.jpg
84,가산생활문화센터,서울특별시 금천구 가산동 142-45,16,감로천생태공원_001_40952542.JPG
